ID,Work Item Type,Title,Test Step,Step Action,Step Expected,Area Path,Iteration Path,State,UserRole,Preconditions,ShortDescription,Description,Priority,Tags
,Test Case,[Bulk Assignment] Verify running query again via advanced search displays latest assignment changes,,,,DC-ST\Carity,DC-ST\Teams\Kolar Gold Fields,Design,authorized users,User has bulk assignment privileges. Multiple persons exist in search results.,AC: PBI 915981 - After bulk operation with no refresh - running query again displays updated data.,AC: PBI 915981 - Verify that after bulk operation completes without refresh - user can run query again via advanced search to see the latest assignment changes reflected in grid.,2,AICreated
,,,1,Login to the application with valid credentials,User successfully logs in and lands on the home page,,,,,,,,,
,,,2,Navigate to the 3 dot ellipsis menu and click Bulk Assignments,Bulk Assignment list view is displayed,,,,,,,,,
,,,3,Open Advanced Search panel,Advanced Search form is displayed,,,,,,,,,
,,,4,Enter search criteria and click Search button,Search results are displayed in the grid with person records,,,,,,,,,
,,,5,Note the current assignment status of displayed records,Current location and staff assignment columns show existing values,,,,,,,,,
,,,6,Select multiple person records by clicking checkboxes,Selected records are highlighted and selection count is updated,,,,,,,,,
,,,7,Click Assign Location button and complete the assignment,Location assignment completes successfully,,,,,,,,,
,,,8,Verify the grid list is NOT refreshed and selections retained,Grid shows same data as before with selections intact,,,,,,,,,
,,,9,Note that grid still shows old assignment data since no refresh occurred,Assignment columns still show previous values,,,,,,,,,
,,,10,Click Search button again in Advanced Search to run query,New query is executed against the database,,,,,,,,,
,,,11,Verify grid now displays updated assignment data,Location assignment column now shows the newly assigned location for affected records,,,,,,,,,
,,,12,Verify selections are cleared after new search,All selections are cleared as expected per search behavior,,,,,,,,,
,,,13,Logout from the application,User successfully logs out,,,,,,,,,
,Test Case,[Bulk Assignment] Verify Select All Records button never displays,,,,DC-ST\Carity,DC-ST\Teams\Kolar Gold Fields,Design,authorized users,User has bulk assignment privileges. Search results exist with multiple records.,AC: PBI 915981 - Select all records button never displays in Bulk Assignment grid.,AC: PBI 915981 - Verify the select all records button never displays in the Bulk Assignment grid under any circumstances.,2,AICreated
,,,1,Login to the application with valid credentials,User successfully logs in and lands on the home page,,,,,,,,,
,,,2,Navigate to the 3 dot ellipsis menu and click Bulk Assignments,Bulk Assignment list view is displayed,,,,,,,,,
,,,3,Enter search criteria and click Search button,Search results are displayed in the grid with person records,,,,,,,,,
,,,4,Verify the grid header checkbox area,Select All Records button is NOT displayed,,,,,,,,,
,,,5,Select a few records individually,Records are selected but no Select All option appears,,,,,,,,,
,,,6,Scroll through the grid if pagination exists,Select All Records button does not appear at any point,,,,,,,,,
,,,7,Perform a bulk operation and return to grid,Select All Records button still does not appear,,,,,,,,,
,,,8,Logout from the application,User successfully logs out,,,,,,,,,
,Test Case,[Bulk Assignment] Verify selections retained when user cancels bulk operation dialog,,,,DC-ST\Carity,DC-ST\Teams\Kolar Gold Fields,Design,authorized users,User has bulk assignment privileges. Search results exist with selectable records.,AC: PBI 915981 - Selections retained on dialog cancel. Grid not refreshed.,AC: PBI 915981 - Verify selections remain intact when user cancels or closes any bulk operation dialog without completing the operation.,2,AICreated
,,,1,Login to the application with valid credentials,User successfully logs in and lands on the home page,,,,,,,,,
,,,2,Navigate to the 3 dot ellipsis menu and click Bulk Assignments,Bulk Assignment list view is displayed,,,,,,,,,
,,,3,Enter search criteria and click Search button,Search results are displayed in the grid with person records,,,,,,,,,
,,,4,Select multiple person records by clicking checkboxes,Selected records are highlighted and selection count is updated,,,,,,,,,
,,,5,Note the current selection count and selected records,Selection state is recorded for verification,,,,,,,,,
,,,6,Click Assign Location button to open dialog,Assign Location dialog stepper opens,,,,,,,,,
,,,7,Click Cancel or Close button on the dialog without completing operation,Dialog closes without completing the assignment,,,,,,,,,
,,,8,Verify all previous selections are still intact,Selection count remains same and same records are still selected,,,,,,,,,
,,,9,Verify grid data has not changed,Grid displays same data as before dialog was opened,,,,,,,,,
,,,10,Repeat steps 6-9 for Assign Staff dialog,Selections retained after canceling Assign Staff dialog,,,,,,,,,
,,,11,Repeat steps 6-9 for Unassign Location dialog,Selections retained after canceling Unassign Location dialog,,,,,,,,,
,,,12,Repeat steps 6-9 for Unassign Staff dialog,Selections retained after canceling Unassign Staff dialog,,,,,,,,,
,,,13,Logout from the application,User successfully logs out,,,,,,,,,
,Test Case,[Bulk Assignment] Verify multiple sequential bulk operations retain selections without refresh,,,,DC-ST\Carity,DC-ST\Teams\Kolar Gold Fields,Design,authorized users,User has bulk assignment privileges. Multiple persons exist that can have both location and staff assigned.,AC: PBI 915981 - Selections persist across multiple sequential bulk operations. List never refreshes.,AC: PBI 915981 - Verify selections retained and list not refreshed when performing multiple bulk operations sequentially on same selection.,2,AICreated
,,,1,Login to the application with valid credentials,User successfully logs in and lands on the home page,,,,,,,,,
,,,2,Navigate to the 3 dot ellipsis menu and click Bulk Assignments,Bulk Assignment list view is displayed,,,,,,,,,
,,,3,Enter search criteria and click Search button,Search results are displayed in the grid with person records,,,,,,,,,
,,,4,Select multiple person records by clicking checkboxes,Selected records are highlighted and selection count is updated,,,,,,,,,
,,,5,Note the grid data and selection count,Initial state is recorded,,,,,,,,,
,,,6,Click Assign Location button and complete the assignment,Location assignment completes successfully,,,,,,,,,
,,,7,Verify list is NOT refreshed and selections are retained,Grid shows same data and same records remain selected,,,,,,,,,
,,,8,Click Assign Staff button and complete the assignment,Staff assignment completes successfully,,,,,,,,,
,,,9,Verify list is NOT refreshed and selections are retained,Grid shows same data and same records remain selected,,,,,,,,,
,,,10,Click Unassign Location button and complete the unassignment,Location unassignment completes successfully,,,,,,,,,
,,,11,Verify list is NOT refreshed and selections are retained,Grid shows same data and same records remain selected,,,,,,,,,
,,,12,Click Unassign Staff button and complete the unassignment,Staff unassignment completes successfully,,,,,,,,,
,,,13,Verify list is NOT refreshed and selections are retained,Grid shows same data and same records remain selected,,,,,,,,,
,,,14,Logout from the application,User successfully logs out,,,,,,,,,
