ID,Work Item Type,Title,Test Step,Step Action,Step Expected,Automation Status,Area Path,Changed Date,Created By,Created Date,State,Tags
"503938","Test Case","[Bulk Assignments] Validate User can see the number of selected records",,,,"Automated","DC-ST\Carity\Core","Fri Apr 26 2024 15:28:38 GMT+0000 (Coordinated Universal Time)","Shri Ruge <FEI\shri.ruge>","Thu Aug 12 2021 21:04:19 GMT+0000 (Coordinated Universal Time)","Ready","BulkAssignmentsModule; Carity_STD_RegressionTest; InSuite; StdRAutomated"
,,,"1","Log into the system","User is logged in",,,,,,,
,,,"2","Navigate to and select the vertical ellipses then select Bulk Assignments","The Bulk Assignments list page is displayed",,,,,,,
,,,"3","Select Query Type, Location Assignment Type and Location using the dropdown list","Options selected",,,,,,,
,,,"4","Click on Search button","Search results displayed on Bulk Assignments list page",,,,,,,
,,,"5","Select 20 in the page counter at the bottom of the page","Displayed as defined",,,,,,,
,,,"6","Select Check box at the Left corner on the Header to select all the records on the current page","All records on the current page marked as selected",,,,,,,
,,,"7","Validate the Message at the top bar displays as '20 Records selected'","Displayed as defined",,,,,,,
,,,"8","Go to next page","Displayed as defined",,,,,,,
,,,"9","Select three records using Check boxes ","Only those three records marked as selected",,,,,,,
,,,"10","Validate the Message at the top bar displays as 'Three records selected'","Displayed as defined",,,,,,,
,,,"11","Validate records get unselected when moving to different page","Displayed as defined",,,,,,,
,,,"12","Logout of system","User is logged out of the system",,,,,,,